Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9296536796536796,0.924198250728863,0.8904494382022472,0.9070100143061517,0.9754732750435195
Random Forest,0.933982683982684,0.9214285714285714,0.9058988764044944,0.9135977337110481,0.9757941080471593
Gradient Boosting,0.941017316017316,0.9375907111756169,0.9073033707865169,0.9221984296930764,0.9794320699477765
